Name,Price,Rating
"FANTASTIC APARTMENT, 1 master ensuite bedroom, WIFI, air condition, separate living room, 2 toilets, 2 walk in shower rooms, hot water, separate kitchen, restaurant, bar, garden, 24 hour security, 20 minutes airport, detached property, North Legon Accra","NGN 51,450",8.0
Luxurious 3 Bed Apartment at Airport Residential Area,"NGN 119,364",8.4
Honey Homes Apartments,"NGN 97,755",
William Ofori-Atta Fie,"NGN 99,556",
The Portrait,"NGN 50,593",9.5
Exquisite Bed and Breakfast,"NGN 42,875",
Embassy Gardens - managed by Clifton Homes,"NGN 111,475",6.8
Lovely apartment,"NGN 87,465",
Room 101 - Uphills Court,"NGN 46,305",
Room 103 - Uphills Court,"NGN 46,305",
LAKESIDE VILLA,"NGN 73,316",
Luxury Executive Suite,"NGN 100,328",
the wing,"NGN 94,325",
Casa De Karibu,"NGN 61,740",
Liana Hotel,"NGN 48,878",6.4
Anne Ruth,"NGN 160,353",
The View,"NGN 30,870",
Newly Built 2 bedroom En-suite Apt.,"NGN 45,062",
Kalyn's Place,"NGN 54,871",
AG HOTEL AND SUITES,"NGN 85,750",7.3
Hills Haven Hotel,"NGN 38,588",
cozy 3 bedroom condo,"NGN 63,112",
Regal Suites Ghana,"NGN 85,750",
HB Furnished Luxurious Apartment,"NGN 132,055",
Impeccable 1-Bedroom Furnished Apartment in Accra,"NGN 54,709",
Connect Africa Apartments,"NGN 102,900",8.6
Crown of splendor,"NGN 109,760",
"MILTON AVENUE SUITES, 2Bed","NGN 94,754",
A&H Villa,"NGN 81,463",
APARTMENTS GH - Accra - Dzorwulu Residence,"NGN 77,175",
Danso Plaza,"NGN 65,599",
JOBerg Luxury Homes,"NGN 102,900",
Premier Place,"NGN 137,200",9.3
"SUCCESS APARTMENT - Adjiringanor, East Legon","NGN 51,450",
Property Royale 1 Bedroom at Oasis Park Condominium,"NGN 115,763",10
Trassaco Comfort Home,"NGN 88,906",
ONE BEDROOM @ PEARL,"NGN 154,350",
Neb lodge,"NGN 38,588",
Charming one Bedroom Furnished Apartment in Accra,"NGN 54,709",10
Stunning 2-Bedroom Furnished Apartment in Accra,"NGN 62,666",
"Zack Modern Residence Ashaley Botwe, Accra","NGN 99,470",
Veronica Adu Tesano 2 bedroom Self Catering House,"NGN 78,719",
Room 102 - Uphills Court,"NGN 69,458",
Suus Rahma Guest House & Apartments,"NGN 47,163",9.0
Ocean View Home,"NGN 79,027",
YARLEY APARTMENT No5,"NGN 115,763",
YARLEY APARTMENT No7,"NGN 115,763",
Ocean Green Beach Resort Pelican 6,"NGN 130,340",
Danso Plaza -1A,"NGN 60,025",
"Luxurios Two Bedroom Apartment with Pool and Gym at Avante Garde, Labone","NGN 163,997",
Sonia Hotel,"NGN 102,900",
Executive 3-Bed Furnished Apartment in Kwashieman,"NGN 80,571",8.0
"SPACIOUS APARTMENT, SLEEPS UP TO 8 PEOPLE, 2 BEDROOMS, 2 BATHS, 2 TOILETS, LARGE LIVING ROOM, AIR CONDITION, WIFI, BALCONY, GARDEN, KITCHEN, GARDEN, 20 MINUTES FROM AIRPORT, GROUND FLOOR, DETACHED BUILDING, 24 hr SECURITY, NORTH LEGON, ACCRA","NGN 61,954",6.4
MH Apartments Accra,"NGN 91,109",
East Airport Suite 2,"NGN 49,735",
Henlesby,"NGN 94,325",8.0
Room 102 - Uphills Court,"NGN 77,175",
Lovely Furnished 1-Bed Apartment in East Legon,"NGN 109,417",
Spacious & Outstanding 3-Bed Furnished Apartment,"NGN 85,047",
Vacation Home 5min walk from the beach,"NGN 42,875",
Ultra Modern 3bedroom townhouse,"NGN 236,156",
Habitat,"NGN 82,320",
Sunshinevilla,"NGN 180,075",
SUCCESS APARTMENTS 2 bedrooms all ENSUIT - East Legon,"NGN 61,740",
Executive Room,"NGN 192,938",
Incredible one bedroom space at East Legon,"NGN 113,121",
The Executive Luxury Apartment@ 2bedroom Embassy Gardens,"NGN 205,800",
Accra Mirage Apartments,"NGN 150,920",
Luxury 2 bedroom apartment,"NGN 180,075",
EBs Legends Two Bedroom,"NGN 198,940",
A Slice of Paradise,"NGN 188,650",
2 Bedroom Self Gated House,"NGN 145,775",
Deluxe luxury apartment studio & 1 bedroom,"NGN 128,625",
Marnia Court,"NGN 171,500",
Calabash Green Executive Apartments,"NGN 111,475",10
Furnished 2 Bedroom Apartment,"NGN 150,491",
EBS LEGENDS LUXURY STUDIO ROOM,"NGN 137,200",
A cozy private getaway.,"NGN 221,578",
Avant Garde Luxury Apartments,"NGN 171,500",
Marnia Court,"NGN 150,920",
AlanVal Apartments,"NGN 121,504",
Two Bedroom Suite - Uphills Court,"NGN 195,510",
Amazing One Bedroom Apartment Space Available,"NGN 292,450",
EBS LEGENDS LUXURY Two Bedroom DUPLEX,"NGN 218,791",
MARNIA COURTS,"NGN 192,938",
Luxurious Superior Room Space Available,"NGN 378,158",
3 Bedroom Townhouse Airport Residential,"NGN 216,090",
Beautiful 2-Bed Apartment at PamV Estates Apt7,"NGN 257,250",
Immaculate 2-Bed Apartment at PamV Estates Apt6,"NGN 257,250",
Alvanti Residences,"NGN 250,047",
EBS LEGENDS LUXURY EDMUND TWO BEDROOM,"NGN 244,388",
Executive 2 bedroom Apartment At East Legon,"NGN 251,265",
1 bedroom Space Available to enjoy,"NGN 253,829",
Premium Suite One Bedroom Space Available,"NGN 462,193",
Lovely luxurious 2 Bedroom Apartment Available,"NGN 291,181",
Konkon Wonderland,"NGN 120,050",
Luxurious Superior Apartment One Bedroom Space available,"NGN 427,421",
Luxurious 1 Bedroom Apartment Available,"NGN 281,462",
Luxurious 2 Bedroom Space Available,"NGN 317,121",
Amazing Two Bedroom Deluxe Executive Suite Space Available,"NGN 439,362",
Luxurious 2 bedroom apartment Space,"NGN 342,143",8.0
Amazing Deluxe Room Space Available 2 king Beds,"NGN 543,792",
Luxe Villa,"NGN 733,163",
2 bedroom Space Available,"NGN 297,124",
Luxurious 2 bedroom space,"NGN 368,914",
Premium One Bedroom Seaview Space Available,"NGN 504,210",
Spectacular Deluxe Suite Available,"NGN 410,906",
3 bed Airport Residential,"NGN 348,248",
Amazing Two Bedroom Apartment Space Available,"NGN 402,433",
Spectacular Deluxe Double Room Available,"NGN 457,571",
Amazing Luxurious Two Bedroom Deluxe Premier Suite,"NGN 493,303",
Luxurious loft space Available,"NGN 398,455",
3 bedroom fully furnished Available for Rent,"NGN 338,721",
Executive Suite Space Available,"NGN 1,330,283",
Luxurious One Bedroom Executive Space Available,"NGN 415,142",
Luxurious Executive One Bedroom Suite Space Available,"NGN 427,893",
Executive 2 bedroom with gym and pool for short and long stay,"NGN 423,614",
Superior Room Space Available,"NGN 575,597",
Amazing Duplex Suite Available,"NGN 547,831",
Luxury 3 bedroom Apartment,"NGN 457,657",
Executive 3 bedroom Apartment Space Available,"NGN 423,614",
Incredible luxurious 2 bedroom space Available,"NGN 381,167",
Incredible 3 Bedroom Apartment Space Available,"NGN 483,081",
The Gallery,"NGN 278,688",
Nice 3 bedroom Apartment Space Available,"NGN 406,635",
Belgravia,"NGN 686,000",
Luxurious King Suite Two Bedroom Space Available,"NGN 658,835",
Luxurious 3 bedroom space,"NGN 508,506",
Luxurious Premier One Bedroom Suite,"NGN 587,924",
Amazing Junior Suite Space Available,"NGN 654,980",
Luxurious Executive Room Available,"NGN 617,593",
"Amazing Executive Room Available,2 king Beds","NGN 664,588",
MatKay 1,"NGN 1,836,766",
Luxurious Ministerial Suite Available,"NGN 2,079,438",
Matkay,"NGN 1,603,526",10
3 Bedroom Luxurious penthouse,"NGN 2,572,501",
Eastgate Hotel,"NGN 72,750",7.5
Dokua Royal Hotel,"NGN 21,060",7.4
RT Big Studio @ The Gardens,"NGN 185,220",
Movinpick Ambassador Hotel,"NGN 181,276",
East Airport Suites4 -Private room,"NGN 73,745",9.3
RT Properties 1 bedroom duplex @The gardens,"NGN 205,800",
East Airport Suite 1,"NGN 73,745",7.3
Covenant Hotel,"NGN 92,610",6.5
